"","player","year","qbr_pct","mean_epa","grades_offense","dropbacks","qbr_pct_tot","mean_epa_tot","grade_avg","plays_tot"
"1","Tom Brady",2007,0.9879808032416,0.380739696959703,93.9,733,0.978920646973251,0.20390075749234,86.55625,12503
"2","Aaron Rodgers",2011,0.985530724274918,0.373845312248051,92.7,637,0.979421840847449,0.206469976661852,86.52,10172
"3","Aaron Rodgers",2020,0.982887419170448,0.33041123875111,95.1,660,0.979421840847449,0.206469976661852,86.52,10172
"4","Matt Ryan",2016,0.979442997864388,0.340678217565583,92.2,698,0.90969677727642,0.122401377083703,80.08,10221
"5","Patrick Mahomes",2018,0.976712936068132,0.319151760195335,92.9,722,0.991914457321846,0.253419966228674,89.5166666666667,5109
"6","Aaron Rodgers",2014,0.975909282436455,0.311036490537606,93.3,650,0.979421840847449,0.206469976661852,86.52,10172
"7","Tom Brady",2016,0.975696234703075,0.293146660572646,94.9,614,0.978920646973251,0.20390075749234,86.55625,12503
"8","Drew Brees",2018,0.975428286075014,0.301373457474288,94,592,0.972591129618359,0.184613509396664,86.0866666666667,10373
"9","Drew Brees",2011,0.975386600492203,0.309615230727698,93.2,806,0.972591129618359,0.184613509396664,86.0866666666667,10373
"10","Peyton Manning",2013,0.971867425549052,0.297167999829019,92.9,806,0.980790148603706,0.213948006350295,86.4,6258
"11","Philip Rivers",2009,0.970955071971059,0.31448223902422,90.9,565,0.92724274767162,0.157424319585473,79.1866666666667,9774
"12","Josh McCown",2013,0.970562042815162,0.360345875210127,86.4,243,0.456939931479873,0.00209057834929207,61.9166666666667,2203
"13","Patrick Mahomes",2019,0.970281546165643,0.321247017047492,90,659,0.991914457321846,0.253419966228674,89.5166666666667,5109
"14","Ryan Tannehill",2020,0.968272240354437,0.307075627832806,90.6,556,0.783406927889891,0.0609460210745721,74.5363636363636,5927
"15","Tom Brady",2017,0.966998848157536,0.265400634473573,94.1,767,0.978920646973251,0.20390075749234,86.55625,12503
"16","Patrick Mahomes",2022,0.966587616270389,0.286044374201335,92,835,0.991914457321846,0.253419966228674,89.5166666666667,5109
"17","Peyton Manning",2007,0.965277636494479,0.256036889826944,94.4,585,0.980790148603706,0.213948006350295,86.4,6258
"18","Jimmy Garoppolo",2017,0.964321880219264,0.334969361728779,86.6,190,0.877852508238257,0.158602722551156,73.1666666666667,2414
"19","Tom Brady",2011,0.96381382110399,0.308968534655519,88.9,771,0.978920646973251,0.20390075749234,86.55625,12503
"20","Patrick Mahomes",2020,0.960594974232116,0.267783555105729,91.8,779,0.991914457321846,0.253419966228674,89.5166666666667,5109
"21","Tom Brady",2020,0.958242012704366,0.244653074741282,93.3,780,0.978920646973251,0.20390075749234,86.55625,12503
"22","Brock Purdy",2023,0.957399003575386,0.308561470393221,87,577,0.98582090928348,0.284024135433189,82.35,927
"23","Peyton Manning",2012,0.956860612997657,0.263719119349058,91.1,655,0.980790148603706,0.213948006350295,86.4,6258
"24","Peyton Manning",2009,0.9565444177228,0.290209420700094,88.5,715,0.980790148603706,0.213948006350295,86.4,6258
"25","Lamar Jackson",2019,0.956209571923205,0.272353243387942,90.1,537,0.904444296982111,0.13194818392784,78.55,3530
"26","Drew Brees",2009,0.955555875585489,0.295768331154417,87.7,643,0.972591129618359,0.184613509396664,86.0866666666667,10373
"27","Tom Brady",2012,0.955535335939471,0.269341533520239,90.2,765,0.978920646973251,0.20390075749234,86.55625,12503
"28","Aaron Rodgers",2016,0.955493039878796,0.256563149465866,91.4,831,0.979421840847449,0.206469976661852,86.52,10172
"29","Peyton Manning",2006,0.951437677086234,0.232622871319681,92.6,738,0.980790148603706,0.213948006350295,86.4,6258
"30","Aaron Rodgers",2010,0.945829042860941,0.231908893730934,91.3,695,0.979421840847449,0.206469976661852,86.52,10172
"31","Philip Rivers",2013,0.945251780369458,0.26318828406687,88.2,641,0.92724274767162,0.157424319585473,79.1866666666667,9774
"32","Russell Wilson",2012,0.944485680129109,0.236013888430841,90.6,553,0.922127540654702,0.121056387871782,81.8416666666667,7996
